"NUMEROPT","CARACTERISTICA"
"5560/2020","Altura - Acesso por Cordas"
"5561/2020","Tratamento Mecânico e Pintura"
"5563/2020","Tratamento manual e pintura"
"5581/2020","Sobre o Mar"
"5583/2020","Sobre o Mar"
"5590/2020","Andaime - Pré-Montagem/Desmontagem"
"5607/2020","Elétrico"
"5615/2020","Andaime - Pré-Montagem/Desmontagem"
"5623/2020","Altura - Acesso por Cordas"
"5625/2020","Andaime - Pré-Montagem/Desmontagem"
"5629/2020","Pressurizado"
"5629/2020","Risco de Perda de Produção"
"5639/2020","Risco de Perda de Produção"
"5645/2020","Altura - Acesso por Cordas"
"5650/2020","Sobre o Mar"
"5656/2020","Andaime - Pré-Montagem/Desmontagem"
"5675/2020","Elétrico"
"5676/2020","Chama Aberta"
"5685/2020","Pressurizado"
"5704/2020","Pressurizado"
"5704/2020","Sobre o Mar"
"5705/2020","Tratamento Mecânico e Pintura"
"5723/2020","Tratamento Mecânico e Pintura"
"5726/2020","Parafusadeira e Torqueadeira"
"5731/2020","Risco de Perda de Produção"
"5737/2020","Andaime - Pré-Montagem/Desmontagem"
"5749/2020","Andaime - Pós-Montagem/Utilização"
"5750/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"5757/2020","Intervenção Automação - PLC"
"5758/2020","Pressurizado"
"5785/2020","Tratamento Mecânico e Pintura"
"5812/2020","Pressurizado"
"5815/2020","Andaime - Pré-Montagem/Desmontagem"
"5822/2020","Tratamento Mecânico e Pintura"
"5827/2020","Tratamento manual e pintura"
"5830/2020","Espaço Confinado"
"5830/2020","Altura - Acesso por Cordas"
"5839/2020","Pressurizado"
"5843/2020","Chama Aberta"
"5844/2020","Tratamento manual e pintura"
"5846/2020","Elétrico"
"5859/2020","Andaime - Pós-Montagem/Utilização"
"5872/2020","Altura - Acesso por Cordas"
"5895/2020","Espaço Confinado"
"5910/2020","Andaime - Pré-Montagem/Desmontagem"
"5939/2020","Chama Aberta"
"5942/2020","Pressurizado"
"5949/2020","Elétrico"
"5959/2020","Altura - Acesso por Cordas"
"5985/2020","Pressurizado"
"5993/2020","Pressurizado"
"5993/2020","Altura - Acesso por Cordas"
"5997/2020","Inibição em funções de Controle e Segurança"
"6013/2020","Pressurizado"
"6016/2020","Andaime - Pré-Montagem/Desmontagem"
"6048/2020","Pressurizado"
"6049/2020","Chama Aberta"
"6070/2020","Tratamento manual e pintura"
"6074/2020","Pressurizado"
"6076/2020","Inibição em funções de Controle e Segurança"
"6082/2020","Tratamento manual e pintura"
"6089/2020","Chama Aberta"
"6108/2020","Tratamento Mecânico e Pintura"
"6110/2020","Pressurizado"
"6114/2020","Chama Aberta"
"6123/2020","Andaime - Pré-Montagem/Desmontagem"
"6130/2020","Pressurizado"
"6133/2020","Tratamento manual e pintura"
"6141/2020","Pressurizado"
"6146/2020","Andaime - Pré-Montagem/Desmontagem"
"6153/2020","Movimentação de Carga"
"6155/2020","Chama Aberta"
"6166/2020","Pressurizado"
"6173/2020","Altura - Acesso por Cordas"
"6178/2020","Inibição em funções de Controle e Segurança"
"6181/2020","Pressurizado"
"6184/2020","Uso de Marreta"
"6188/2020","Pressurizado"
"6200/2020","Andaime - Pós-Montagem/Utilização"
"6210/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"6210/2020","Uso de Marreta"
"6210/2020","Parafusadeira e Torqueadeira"
"6245/2020","Pressurizado"
"6248/2020","Pressurizado"
"6257/2020","Intervenção Automação - PLC"
